NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,WEBSITE
THE UNIVERSITY OF THE SOUTH,735 UNIVERSITY AVENUE,SEWANEE,TN,37383,(931) 598-1000,2593,FRANKLIN,47051,USA,35.204429866000055,-85.91777190299996,www.sewanee.edu/
CEDAR VALLEY COLLEGE,3030 NORTH DALLAS AVE,LANCASTER,TX,75134,NOT AVAILABLE,-999,DALLAS,48113,USA,32.62568620500008,-96.76342092999994,NOT AVAILABLE
CENTRAL TEXAS COLLEGE,6200 WEST CENTRAL TEXAS EXPRESSWAY,KILLEEN,TX,76549,(254) 526-7161,11681,CORYELL,48099,USA,31.119054,-97.809704,www.ctcd.edu/
AVALON SCHOOL OF COSMETOLOGY-LAYTON,1992 W ANTELOPE DRIVE,LAYTON,UT,84041,(801) 614-5040,236,DAVIS,49011,USA,41.08991640600004,-112.00364011699997,avalon.edu/locations/layton-ut/
ALASKA VOCATIONAL TECHNICAL CENTER,PO BOX 889,SEWARD,AK,99664,(907) 224-3322,250,KENAI PENINSULA,02122,USA,60.111047,-149.44423,www.avtec.edu/
SALINA AREA TECHNICAL COLLEGE,2562 CENTENNIAL ROAD,SALINA,KS,67401,(785) 309-3100,798,SALINE,20169,USA,38.793597023000075,-97.63687391499997,www.salinatech.edu/
BELLUS ACADEMY,1130 WESTLOOP PLACE,MANHATTAN,KS,66502,(858) 748-1490,177,RILEY,20161,USA,39.19167679100008,-96.60841296299998,www.bellusacademy.edu/
PENNSYLVANIA STATE UNIVERSITY-WORLD CAMPUS,128 OUTREACH BUILDING,UNIVERSITY PARK,PA,16802,(814) 865-5403,-999,CENTRE,42027,USA,40.832757,-77.841748,worldcampus.psu.edu/
SHENANDOAH UNIVERSITY,1460 UNIVERSITY DR,WINCHESTER,VA,22601,(540) 665-4500,5076,WINCHESTER CITY,51840,USA,39.166058047000035,-78.15837590299998,www.su.edu/
MIAMI UNIVERSITY-OXFORD,501 EAST HIGH ST,OXFORD,OH,45056,(513) 529-1809,22122,BUTLER,39017,USA,39.509641560000034,-84.73182111699998,miamioh.edu/
THE HAIR ACADEMY LLC,513 WEST COLLEGE STREET,FAYETTEVILLE,TN,37334,(931) 433-1305,49,LINCOLN,47103,USA,35.15266234600006,-86.57216436099998,https://www.thehairacademy.net/
UNIVERSITY OF HOUSTON,212 E. CULLEN BUILDING,HOUSTON,TX,77204,(713) 743-1000,52610,HARRIS,48201,USA,29.719988,-95.344851,www.uh.edu/
RIPON COLLEGE,300 WEST SEWARD STREET,RIPON,WI,54971,(920) 748-8115,990,FOND DU LAC,55039,USA,43.842383,-88.8426,www.ripon.edu/
UNIVERSITY OF SOUTH CAROLINA-SUMTER,200 MILLER RD,SUMTER,SC,29150,(803) 775-8727,1536,SUMTER,45085,USA,33.933434480000074,-80.37381491099995,www.sc.edu/about/system_and_campuses/sumter/index.php
WARREN COUNTY CAREER CENTER,3525 NORTH STATE ROUTE 48,LEBANON,OH,45036,(513) 932-8145,457,WARREN,39165,USA,39.488771808000024,-84.20296874599995,www.mywccc.org/
PARISIAN SPA INSTITUTE,1045 RIVERSIDE AVENUE,JACKSONVILLE,FL,32204,(904) 350-9796,180,DUVAL,12031,USA,30.31323335600007,-81.67761517599996,psijax.edu/
TARRANT COUNTY COLLEGE DISTRICT,1500 HOUSTON ST,FORT WORTH,TX,76102,(817) 515-8223,46780,TARRANT,48439,USA,32.74750093700004,-97.32794844099999,www.tccd.edu/
PAUL MITCHELL THE SCHOOL-MERRILLVILLE,7990 BROADWAY,MERRILLVILLE,IN,46410,(219) 793-9246,106,LAKE,18089,USA,41.473643784000046,-87.33658447399995,paulmitchell.edu/merrillville
CASTLETON UNIVERSITY,62 ALUMNI DR,CASTLETON,VT,05735,(802) 468-5611,2613,RUTLAND,50021,USA,43.60808865300004,-73.18155734999993,www.castleton.edu/
WARNER UNIVERSITY,13895 HWY 27,LAKE WALES,FL,33859,(863) 638-1426,1205,POLK,12105,USA,27.825751489000027,-81.59997248299999,www.warner.edu/academics/undergraduate_programs/admissions/criteria-for-admission/
FLORIDA POLYTECHNIC UNIVERSITY,4700 RESEARCH WAY,LAKELAND,FL,33805,(863) 583-9050,1679,POLK,12105,USA,28.150476853000043,-81.85127356099997,floridapoly.edu/
PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,1000 CAMPUS DRIVE,HELENA,AR,72342,(870) 338-6474,1309,PHILLIPS,05107,USA,34.544976,-90.617745,www.pccua.edu/
GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT,8800 GROSSMONT COLLEGE DR,EL CAJON,CA,92020,(619) 644-7010,156,SAN DIEGO,06073,USA,32.81605377500006,-117.00729196499998,www.gcccd.edu/
SOUTHEASTERN ILLINOIS COLLEGE,3575 COLLEGE ROAD,HARRISBURG,IL,62946,(618) 252-5400,1404,SALINE,17165,USA,37.751698875000045,-88.43459166099996,www.sic.edu/
KENNETH SHULER SCHOOL OF COSMETOLOGY-COLUMBIA,7474 GARNERS FERRY ROAD,COLUMBIA,SC,29209,(803) 776-9100,134,RICHLAND,45079,USA,33.964546023000025,-80.94192072399994,www.kennethshuler.com/
OUR LADY OF THE LAKE UNIVERSITY,411 SW 24TH ST.,SAN ANTONIO,TX,78207,(210) 434-6711,3344,BEXAR,48029,USA,29.425610935000066,-98.54395030199998,https://www.ollusa.edu/
LAKELAND UNIVERSITY,W3718 SOUTH DRIVE,PLYMOUTH,WI,53073,(920) 565-1000,3154,SHEBOYGAN,55117,USA,43.841263526000034,-87.88434666599994,www.lakeland.edu/
CENTURA COLLEGE-NEWPORT NEWS,616 DENBIGH BLVD.,NEWPORT NEWS,VA,23608,(757) 874-2121,227,NEWPORT NEWS CITY,51700,USA,37.13929372000007,-76.51805961299993,https://www.centuracollege.edu/campuses/newport-news/
UNION COLLEGE,3800 S 48TH STREET,LINCOLN,NE,68506,(402) 486-2600,1015,LANCASTER,31109,USA,40.77477787300006,-96.65109507699998,https://www.ucollege.edu/
ADVANCED WELDING INSTITUTE,2 GREEN TREE DR SUITE 3,SOUTH BURLINGTON,VT,05403,(802) 660-0600,79,CHITTENDEN,50007,USA,44.455879786000025,-73.13943653599995,www.awi.edu/
INDIANA INSTITUTE OF TECHNOLOGY,1600 E WASHINGTON BLVD,FORT WAYNE,IN,46803,(800) 937-2448,3246,ALLEN,18003,USA,41.078337763000036,-85.11795026599998,www.indianatech.edu/
AMERICAN SAMOA COMMUNITY COLLEGE,P.O. BOX 2609,PAGO PAGO,AS,96799,(684) 699-9155 EXT 370,1364,WESTERN,60050,ASM,-14.323171423999952,-170.74317458499996,www.amsamoa.edu/
ARIZONA STATE UNIVERSITY-WEST,4701 W THUNDERBIRD ROAD,GLENDALE,AZ,85306,(855) 278-5080,-999,MARICOPA,04013,USA,33.60898,-112.158935,www.asu.edu/
HERITAGE BIBLE COLLEGE,494 ANTIOCH CHURCH ROAD,DUNN,NC,28334,(910) 892-3178,61,HARNETT,37085,USA,35.26827843800004,-78.61267685299998,www.heritagebiblecollege.edu/
PAUL MITCHELL THE SCHOOL-FAYETTEVILLE,505A CROSS CREEK MALL,FAYETTEVILLE,NC,28303,(910) 485-6310,188,CUMBERLAND,37051,USA,35.069985,-78.957561,paulmitchell.edu/fayetteville
COLEGIO UNIVERSITARIO DE SAN JUAN,180 JOSE OLIVER ST TRES MONJITAS IND. PARK,SAN JUAN,PR,00918,(787) 480-2400,1076,SAN JUAN,72127,PRI,18.428527969000072,-66.06652882099996,www.cunisanjuan.edu/
PLATT COLLEGE-SAN DIEGO,6250 EL CAJON BLVD,SAN DIEGO,CA,92115,(619) 265-0107,136,SAN DIEGO,06073,USA,32.76372956900008,-117.06348304499994,www.platt.edu/
YORK COUNTY SCHOOL OF TECHNOLOGY-ADULT & CONTINUING EDUCATION,2179 S QUEEN ST,YORK,PA,17402,(717) 747-2130,153,YORK,42133,USA,39.92988692900008,-76.68544900899997,www.ytech.edu/
HDS TRUCK DRIVING INSTITUTE,6251 S. WILMOT ROAD,TUCSON,AZ,85756,(520) 721-5825 EXT 219,199,PIMA,04019,USA,32.138870490000045,-110.85647383899999,www.hdstruckdrivinginstitute.com/
KEUKA COLLEGE,141 CENTRAL AVENUE,KEUKA PARK,NY,14478,(315) 279-5000,1851,YATES,36123,USA,42.61525325900004,-77.09056246699998,https://www.keuka.edu/
CENTER FOR MASSAGE,"16 EAGLE STREET, SUITE 100",ASHEVILLE,NC,28801,(828) 658-0814,63,BUNCOMBE,37021,USA,35.594020225000065,-82.55064714299994,centerformassage.com/
SOUTH UNIVERSITY-MONTGOMERY,5355 VAUGHN RD,MONTGOMERY,AL,36116,(334) 395-8800,441,MONTGOMERY,01101,USA,32.34274096200005,-86.21646851199995,"www.southuniversity.edu/montgomery#location=Montgomery, AL"
LINCOLN UNIVERSITY,401 15TH STREET,OAKLAND,CA,94612,(510) 628-8010,440,ALAMEDA,06001,USA,37.80478781200003,-122.26974493999995,www.lincolnuca.edu/
HENDRIX COLLEGE,1600 WASHINGTON AVE,CONWAY,AR,72032,(501) 329-6811,1492,FAULKNER,05045,USA,35.09971967400003,-92.44202071599994,www.hendrix.edu/
UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,1400 NE CAMPUS PARKWAY,SEATTLE,WA,98195,(206) 543-2100,68838,KING,53033,USA,47.655775179000045,-122.310802164,www.washington.edu/
SAN JOAQUIN VALLEY COLLEGE-ONTARIO,4580 ONTARIO MILLS PARKWAY,ONTARIO,CA,91764,(559) 734-9000,978,SAN BERNARDINO,06071,USA,34.06851794000005,-117.55037087399995,sjvc.edu/
TOHONO O'ODHAM COMMUNITY COLLEGE,"HIGHWAY 86, MILE POST 125.5",SELLS,AZ,85634,(520) 383-8401,978,PIMA,04019,USA,31.989869,-111.715445,www.tocc.edu/
UNIVERSITY OF NOTRE DAME,400 MAIN BUILDING,NOTRE DAME,IN,46556,(574) 631-5000,19035,ST. JOSEPH,18141,USA,41.699587,-86.237075,www.nd.edu/
WAYLAND BAPTIST UNIVERSITY,1900 W 7TH ST.,PLAINVIEW,TX,79072,(806) 291-1000,4728,HALE,48189,USA,34.18673010700007,-101.72572830899998,www.wbu.edu/
UNIVERSITY OF VIRGINIA-MAIN CAMPUS,1827 UNIVERSITY AVENUE,CHARLOTTESVILLE,VA,22903,(434) 924-0311,35689,ALBEMARLE,51003,USA,38.033977,-78.511845,https://www.virginia.edu/
KIAMICHI TECHNOLOGY CENTER-MCALESTER,301 KIAMICHI DR,MCALESTER,OK,74501,(918) 465-2323,802,PITTSBURG,40121,USA,34.92417282800005,-95.74599915799996,www.ktc.edu/
UNIVERSITY OF PHOENIX-UTAH,5373 S. GREEN STREET,SALT LAKE CITY,UT,84123,(866) 766-0766,34,SALT LAKE,49035,USA,40.65383523600008,-111.90447443499994,https://www.phoenix.edu/
NEW HOPE CHRISTIAN COLLEGE-EUGENE,2155 BAILEY HILL RD,EUGENE,OR,97405,(541) 485-1780,74,LANE,41039,USA,44.032674350000036,-123.15355044499995,www.newhope.edu/
CLARKS SUMMIT UNIVERSITY,538 VENARD RD,CLARKS SUMMIT,PA,18411,(570) 586-2400,934,LACKAWANNA,42069,USA,41.49619673600006,-75.68423382899994,https://www.clarkssummitu.edu/
LINFIELD UNIVERSITY-ONLINE AND CONTINUING EDUCATION,900 SE BAKER STREET,MCMINNVILLE,OR,97128,(503) 883-2447,187,YAMHILL,41071,USA,45.201335544000074,-123.20044997599996,https://www.linfield.edu/academics/oce/index.html
CRISWELL COLLEGE,4010 GASTON AVENUE,DALLAS,TX,75246,(214) 821-5433,307,DALLAS,48113,USA,32.79351252200007,-96.77669016599998,www.criswell.edu/
PALM BEACH ACADEMY OF HEALTH & BEAUTY,1220-A 10TH ST,LAKE PARK,FL,33403,(561) 845-1400,59,PALM BEACH,12099,USA,26.80362072500003,-80.07497929899995,www.pbacademy.net/
REMINGTON COLLEGE-SHREVEPORT CAMPUS,2106 BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,LA,71101,(318) 671-4000,389,CADDO,22017,USA,32.40316615000006,-93.79357819899997,www.remingtoncollege.edu/shreveport-career-school-overview
FLORIDA SCHOOL OF MASSAGE,6421 SW 13TH ST,GAINESVILLE,FL,32608,(352) 378-7891,32,ALACHUA,12001,USA,29.593428094000046,-82.33827308599996,floridaschoolofmassage.com/
DORSEY SCHOOL OF BUSINESS-MADISON HEIGHTS,31739 JOHN R ROAD,MADISON HEIGHTS,MI,48071,(248) 588-9660,507,OAKLAND,26125,USA,42.525328528000045,-83.10819382599999,www.dorsey.edu/
RESEARCH COLLEGE OF NURSING,2525 E. MEYER BOULEVARD,KANSAS CITY,MO,64132,(816) 995-2800,472,JACKSON,29095,USA,39.00874700500003,-94.55808696399998,researchcollege.edu/
COLLEGE OF COURT REPORTING INC,"455 WEST LINCOLNWAY, SUITE A",VALPARAISO,IN,46385,(219) 531-1459,150,PORTER,18127,USA,41.467574,-87.066331,www.ccr.edu/
SALEM COMMUNITY COLLEGE,460 HOLLYWOOD AVENUE,CARNEYS POINT,NJ,08069,(856) 299-2100,1046,SALEM,34033,USA,39.69854920700004,-75.46968098699995,www.salemcc.edu/
UNITECH TRAINING ACADEMY-BATON ROUGE,10551 COURSEY BLVD,BATON ROUGE,LA,70816,(337) 988-4042,78,EAST BATON ROUGE,22033,USA,30.417249,-91.063,www.unitechtrainingacademy.com/
INSTITUTE OF MEDICAL ULTRASOUND,"225 PEACHTREE STREET NE, SUITE 1925",ATLANTA,GA,30303,(404) 881-1916,34,FULTON,13121,USA,33.76012644600007,-84.38732262099995,www.imu.edu/
COLUMBIA COLLEGE - SPRINGFIELD TMOBILE,2645 N. AIRPORT PLAZA AVE,SPRINGFIELD,MO,65803,NOT AVAILABLE,-999,GREENE,29077,USA,37.24688030400006,-93.34562459099999,NOT AVAILABLE
TOTAL BEAUTY INSTITUTE,5308 NORTH PEARL STREET,JACKSONVILLE,FL,32208,(904) 240-1688,20,DUVAL,12031,USA,30.37207302400003,-81.65784845299999,www.totalbeautyinstitute.com/
PREMIERE AESTHETICS INSTITUTE,1693 SOUTHWEST CHANDLER AVENUE,BEND,OR,97702,(541) 797-6578,34,DESCHUTES,41017,USA,44.04193743500008,-121.33734072499999,www.premiereaestheticsinstitute.com/
NATIONAL UNIVERSITY COLLEGE - PEMBROKE PINES,12520 PINES BOULEVARD SUITE 100A,PEMBROKE PINES,FL,33027,NOT AVAILABLE,-999,BROWARD,12011,USA,26.005827344000068,-80.31528849399996,NOT AVAILABLE
NUC UNIVERSITY - IBC INSTITUTE - MAYAG?EZ,#75 AVENIDA TENERIFE CARRETERA #2 BARRIO SULTANA,MAYAGUEZ,PR,00680,NOT AVAILABLE,-999,MAYAGÜEZ,72097,PRI,18.162131058000057,-67.14447559399997,NOT AVAILABLE
SAN JACINTO COMMUNITY COLLEGE DISTRICT - GENERATION PARK CAMPUS,13455 LOCKWOOD ROAD,HOUSTON,TX,77044,NOT AVAILABLE,-999,HARRIS,48201,USA,29.91866172300007,-95.21292731299997,NOT AVAILABLE
PLATT COLLEGE-MILLER-MOTTE COLLEGE-CHATTANOOGA 2,4180 SOUTH CREEK ROAD,CHATTANGOOGA,TN,37406,(423) 510-9675,-999,HAMILTON,47065,USA,35.092410940000036,-85.24034938599993,https://www.miller-motte.edu/
TECHSHERPAS 365,10213 WILSKY BLVD,TAMPA,FL,33625,(813) 287-8876,-999,HILLSBOROUGH,12057,USA,28.042398263000052,-82.56585793899995,https://techsherpas.com/
PPG TECHNICAL COLLEGE,"VILLA BLANCA INDUSTRIAL PARK, AVE SAKURA #6",CAGUAS,PR,00726,(787) 961-6832,200,CAGUAS,72025,PRI,18.246366266000052,-66.03558086699996,www.ppg.edu/
UNITECH TRAINING ACADEMY-ALEXANDRIA,2800 S. MACARTHUR DRIVE,ALEXANDRIA,LA,71301,(337) 988-4042,90,RAPIDES,22079,USA,31.322493525000027,-92.53468464099996,www.unitechtrainingacademy.com/
FLORIDA INTERNATIONAL TRAINING INSTITUTE,7265 NORTHWEST 25TH STREET,MIAMI,FL,33122,(305) 594-3151,265,MIAMI-DADE,12086,USA,25.79792475200003,-80.31472258499997,www.fitischools.com/
CALIFORNIA BARBER AND BEAUTY COLLEGE,5315 EL CAJON BOULEVARD,SAN DIEGO,CA,92115,(619) 265-0500,52,SAN DIEGO,06073,USA,32.75722,-117.081321,https://www.californiabarberandbeauty.com/
RIO SALADO COLLEGE,2323 W 14TH ST,TEMPE,AZ,85281,(480) 517-8000,18769,MARICOPA,04013,USA,33.41276429100003,-111.97405283499995,www.rio.maricopa.edu/
CAROLINA UNIVERSITY,420 S. BROAD ST.,WINSTON-SALEM,NC,27101,(336) 725-8344,1116,FORSYTH,37067,USA,36.087962,-80.250153,https://www.carolinau.edu/
KENNY'S ACADEMY OF BARBERING,2150 LAFAYETTE ROAD,INDIANAPOLIS,IN,46222,(317) 635-5900,156,MARION,18097,USA,39.79644,-86.207551,kennysacademy.com/
PRINCETON UNIVERSITY,1 NASSAU HALL,PRINCETON,NJ,08544,(609) 258-3000,14959,MERCER,34021,USA,40.34714142100006,-74.65769781299997,www.princeton.edu/
THE BEAUTY INSTITUTE,1921 UNION BLVD,ALLENTOWN,PA,18109,(732) 320-2194 EXT 90890,49,LEHIGH,42077,USA,40.62585532500003,-75.42678049799997,https://www.thebeautyinstituteskp.edu/
TRI-COUNTY COMMUNITY COLLEGE,21 CAMPUS CIRCLE,MURPHY,NC,28906,(828) 837-6810,1228,CHEROKEE,37039,USA,35.06702093000007,-83.96647559099995,www.tricountycc.edu/
WESTERN PIEDMONT COMMUNITY COLLEGE,1001 BURKEMONT AVE,MORGANTON,NC,28655,(828) 448-3500,2165,BURKE,37023,USA,35.722875542000054,-81.68734479299997,https://www.wpcc.edu/
AUBURN CAREER CENTER,8140 AUBURN RD,CONCORD TWP,OH,44077,(440) 357-7542,329,LAKE,39085,USA,41.64923774700003,-81.24379802399994,www.auburncc.org/
SOUTHERN CAREERS INSTITUTE-BROWNSVILLE,935 N. EXPRESSWAY,BROWNSVILLE,TX,78520,(512) 437-7500,651,CAMERON,48061,USA,25.93638244500005,-97.50087076199998,www.scitexas.edu/
LUBBOCK CHRISTIAN UNIVERSITY,5601 19TH STREET,LUBBOCK,TX,79407,(806) 796-8800,2056,LUBBOCK,48303,USA,33.576272989000074,-101.93481648599999,https://www.lcu.edu/
BOSSIER PARISH COMMUNITY COLLEGE,6220 EAST TEXAS,BOSSIER CITY,LA,71111,(318) 678-6000,6511,BOSSIER,22015,USA,32.539551352000046,-93.64688146899994,www.bpcc.edu/
SOUTHWEST TENNESSEE COMMUNITY COLLEGE,737 UNION AVENUE,MEMPHIS,TN,38103,(901) 333-5000,8293,SHELBY,47157,USA,35.13757662900008,-90.03654276999998,www.southwest.tn.edu/
LINCOLN COLLEGE OF TECHNOLOGY-GRAND PRAIRIE,2915 ALOUETTE DRIVE,GRAND PRAIRIE,TX,75052,(972) 660-5701 EXT 41100,1571,TARRANT,48439,USA,32.701683641000045,-97.05639117299995,www.lincolntech.edu/campus/grand-prairie-tx
COLUMBIANA COUNTY CAREER AND TECHNICAL CENTER,9364 ST RT 45,LISBON,OH,44432,(330) 424-9561 EXT 116,175,COLUMBIANA,39029,USA,40.767728859000044,-80.74814620799998,www.ccctc.k12.oh.us/
EMPIRE BEAUTY SCHOOL-VIRGINIA BEACH,116 SOUTH INDEPENDENCE BOULEVARD,VIRGINIA BEACH,VA,23462,(800) 920-4593,134,VIRGINIA BEACH CITY,51810,USA,36.838585555000066,-76.13552729699995,www.empire.edu/
CANTON CITY SCHOOLS ADULT CAREER AND TECHNICAL EDUCATION,2800 13TH STREET S.W.,CANTON,OH,44710,(330) 438-2556,117,STARK,39151,USA,40.826156,-81.325174,https://www.ccsdistrict.org/site/default.aspx?PageID=189
CAMERON UNIVERSITY,2800 WEST GORE BLVD,LAWTON,OK,73505,(580) 581-2200,4263,COMANCHE,40031,USA,34.60648738900005,-98.43416335999996,https://www.cameron.edu/
TENNESSEE TECHNOLOGICAL UNIVERSITY,1 WILLIAM L. JONES DRIVE,COOKEVILLE,TN,38505,(931) 372-3101,11533,PUTNAM,47141,USA,36.174659174000055,-85.50395686399997,www.tntech.edu/
BAYLOR UNIVERSITY,NOT AVAILABLE,WACO,TX,76798,(254) 710-1011,22706,MCLENNAN,48309,USA,31.546149574000026,-97.11845257999994,www.baylor.edu/
WEST TEXAS A & M UNIVERSITY,2501 4TH AVE,CANYON,TX,79016,(806) 651-0000,10964,RANDALL,48381,USA,34.981563556000026,-101.91575877599996,www.wtamu.edu/
OHIO UNIVERSITY-CHILLICOTHE CAMPUS,101 UNIVERSITY DRIVE,CHILLICOTHE,OH,45601,(740) 774-7200,2453,ROSS,39141,USA,39.32817355800006,-83.00531926199994,https://www.ohio.edu/chillicothe/
MERCYHURST UNIVERSITY,501 E 38TH ST,ERIE,PA,16546,(814) 824-2000,3281,ERIE,42049,USA,42.103990846000045,-80.05556795499996,www.mercyhurst.edu/
